week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders
232,50,113,261.89,213.27,0,0,28
87,29,382,233.19,240.56,0,0,42
158,5,317,261.44,210.53,0,0,32
123,6,99,179.71,158.12,0,0,32
58,22,166,279.4,259.21,0,0,26
198,8,26,160.91,142.43,0,1,34
259,33,190,57.62,61.64,0,0,50
251,12,185,281.22,276.81,0,0,37
219,27,377,115.3,95.3,0,0,33
200,18,212,309.72,250.21,0,0,45
235,34,255,235.91,220.54,0,0,48
190,37,364,158.36,181.28,0,0,32
223,6,306,206.89,210.45,1,0,27
177,46,278,296.79,271.94,0,0,29
1,44,176,305.24,246.36,1,0,24
221,24,14,261.4,222.72,0,0,29
145,5,25,279.69,292.89,0,0,36
18,45,166,153.64,128.41,0,0,22
91,24,257,76.7,61.83,0,0,34
210,47,310,188.79,160.37,0,0,24
25,1,233,135.68,119.52,0,0,24
15,13,58,127.03,114.69,0,0,46
53,6,120,186.53,247.96,0,1,50
104,5,330,256.48,233.81,0,0,48
115,3,193,224.89,206.58,0,0,23
36,29,198,153.65,143.91,0,0,36
198,11,7,161.12,146.8,0,0,31
13,2,256,180.59,150.93,0,0,17
121,34,101,369.36,299.34,0,0,26
63,7,59,174.12,160.32,0,0,25
148,15,226,326.72,277.04,1,0,32
186,45,88,62.81,61.22,0,0,36
33,26,382,235.8,216.24,0,0,15
113,27,384,235.11,213.6,0,0,37
27,17,399,127.67,120.53,0,0,31
151,18,22,251.88,237.51,0,0,46
249,17,161,92.32,77.31,1,0,58
4,35,218,261.17,220.34,0,0,27
118,24,333,107.92,97.24,0,0,24
189,12,113,52.53,50.68,0,0,43
82,39,89,168.35,163.52,0,0,37
52,35,283,322.18,280.1,0,0,34
17,1,190,339.85,287.37,1,0,20
171,2,371,141.04,133.69,1,0,38
194,40,45,328.17,288.04,0,0,28
98,15,227,223.91,179.31,0,0,17
145,19,206,203.89,241.45,0,0,40
31,22,246,93.04,75.58,0,0,20
35,34,323,77.25,64.77,0,0,6
83,47,374,76.7,74.75,0,0,26
76,35,311,234.75,241.08,0,1,43
216,9,53,278.91,266.96,0,0,38
91,39,317,348.79,295.0,0,0,43
148,26,244,248.78,221.81,0,0,31
191,38,159,232.52,190.27,0,0,45
43,25,368,60.69,53.46,1,0,21
17,45,191,120.05,117.45,0,0,23
106,32,325,134.91,133.27,1,1,27
71,46,108,228.81,208.97,1,0,17
205,46,110,173.95,199.24,0,1,45
118,35,168,223.48,200.35,0,0,32
111,41,56,109.67,156.6,0,0,43
255,21,374,105.68,92.98,0,0,39
221,47,211,126.03,122.62,0,0,45
153,11,40,224.74,180.71,0,0,22
218,13,339,146.41,190.72,0,1,50
218,33,367,249.01,239.36,0,1,45
191,27,227,352.11,286.35,0,0,29
246,50,5,55.98,55.82,0,0,42
197,33,196,77.54,63.08,0,0,31
64,7,11,310.8,299.36,0,0,23
195,21,8,135.42,131.83,0,0,18
256,18,333,121.79,118.45,0,0,45
59,10,27,341.41,286.59,0,0,23
124,27,177,231.39,186.73,0,0,40
85,42,221,247.81,224.32,0,1,23
145,20,336,74.46,63.23,0,0,6
55,25,175,46.32,62.05,0,0,25
60,10,281,250.45,244.11,1,0,21
239,19,130,174.79,142.28,0,0,42
162,21,235,219.03,287.75,1,0,36
143,35,352,216.7,190.0,0,0,30
252,30,394,115.96,143.92,0,0,40
101,44,152,124.67,103.73,0,0,37
174,38,119,102.66,133.79,0,0,52
42,42,85,304.09,288.15,0,0,14
174,14,246,144.97,119.56,0,0,24
68,23,96,162.22,157.2,0,0,38
137,5,142,181.42,179.37,0,0,18
184,26,259,213.28,183.56,0,0,41
116,9,33,167.56,230.75,1,0,47
219,9,299,288.63,237.07,0,0,33
57,33,175,61.97,63.96,0,0,38
66,12,233,289.02,236.56,0,0,35
90,10,19,199.37,178.82,0,1,26
181,6,273,225.14,223.12,0,0,40
34,14,67,290.95,268.51,1,1,37
125,48,235,73.64,104.42,0,0,29
210,47,186,89.5,82.16,0,0,38
37,4,21,110.47,93.94,0,0,11
81,49,130,322.81,295.36,0,0,37
102,18,34,127.75,119.09,0,0,29
40,13,218,227.44,208.09,0,0,27
63,42,198,299.5,272.36,1,0,35
210,47,399,178.03,159.32,0,0,37
83,17,349,148.77,142.48,0,0,25
205,37,205,197.3,242.13,0,0,37
212,1,204,334.07,282.28,0,0,32
98,5,191,202.49,167.37,1,0,38
72,46,108,186.44,168.75,0,0,39
148,23,178,207.75,194.21,1,0,39
74,38,287,255.45,241.73,0,0,23
131,30,135,240.19,285.32,0,0,39
74,37,117,299.9,281.17,0,0,29
124,44,2,188.62,208.99,0,1,33
211,25,154,79.8,103.86,0,0,36
127,6,191,225.46,197.42,0,0,30
196,28,62,92.81,95.07,0,0,37
158,31,307,284.22,238.27,0,0,7
16,17,101,76.15,92.76,0,0,41
186,18,397,283.72,254.41,0,0,49
125,1,241,301.36,263.92,0,0,7
46,30,251,225.76,234.13,0,0,27
71,47,181,266.75,265.61,1,0,36
252,37,172,101.95,105.24,0,0,47
67,40,58,176.12,237.12,0,0,26
99,30,10,147.87,126.29,1,0,45
23,48,177,101.97,98.28,0,0,35
107,28,151,71.96,90.33,0,0,37
67,39,99,284.56,275.39,1,0,42
203,27,59,180.61,249.51,0,0,50
7,21,55,217.29,189.14,0,0,22
243,33,66,179.0,228.1,1,0,44
37,6,20,59.81,63.27,0,0,24
77,49,26,60.79,59.4,1,0,45
228,21,59,130.06,105.0,0,0,35
241,12,60,94.5,91.64,0,0,32
52,37,216,234.38,223.75,0,0,19
125,23,366,224.35,189.75,0,0,34
215,11,75,161.53,150.36,0,0,35
256,33,120,175.69,162.57,0,0,45
35,35,52,197.86,197.8,0,1,23
133,23,259,155.52,143.58,0,0,23
222,23,272,154.01,216.82,1,0,62
81,47,199,107.53,98.05,0,0,38
29,20,195,320.12,288.14,0,0,37
182,5,391,220.06,265.49,1,0,43
183,34,372,323.53,278.84,0,0,29
65,36,20,177.55,240.02,0,0,39
40,6,13,147.46,169.06,0,0,29
5,50,359,224.39,252.47,0,0,31
136,48,307,69.36,56.35,0,0,30
215,30,285,69.26,62.35,0,0,30
245,37,174,159.59,133.64,0,0,32
127,3,6,284.72,280.45,0,0,30
94,33,5,307.71,250.05,0,0,22
41,36,10,209.93,198.05,0,0,24
106,12,102,139.58,118.99,1,1,39
217,5,346,226.87,203.78,0,0,43
7,11,179,120.36,117.0,0,0,19
237,16,339,134.65,120.79,1,0,33
57,18,390,106.08,114.89,0,0,27
103,17,108,194.65,172.94,0,0,48
150,11,59,109.39,93.42,1,0,36
203,37,257,266.74,217.25,1,0,52
151,28,71,56.16,66.49,0,0,51
31,15,121,245.21,263.77,0,0,17
80,39,110,268.63,242.06,0,0,26
170,40,97,171.01,153.22,0,0,31
23,30,220,211.36,237.07,0,0,31
96,32,331,183.21,260.03,0,0,43
77,38,77,146.61,142.92,0,0,43
237,27,28,251.78,212.5,1,0,29
218,8,387,167.31,155.22,0,0,39
21,13,358,123.26,126.95,0,0,23
229,29,240,65.68,67.85,0,0,28
207,2,81,131.62,153.22,0,0,21
251,16,96,86.96,82.66,1,0,40
95,17,122,54.29,66.78,0,0,47
206,6,51,255.49,207.52,0,1,29
130,23,324,203.97,176.36,0,0,17
50,31,126,241.31,239.4,0,0,26
178,5,176,87.41,76.27,0,0,48
238,25,251,136.55,143.31,1,0,40
68,47,262,216.08,204.15,1,0,51
246,15,379,116.64,160.54,0,0,39
219,10,154,189.06,162.01,0,0,36
198,4,216,192.4,181.04,0,1,35
4,43,284,154.9,128.13,0,0,34
214,19,43,79.17,65.38,0,0,38
49,4,121,231.71,202.53,0,0,24
47,11,285,83.83,69.13,0,0,29
96,47,5,166.21,155.3,0,0,24
137,31,136,284.93,262.24,0,0,18
190,10,45,193.15,156.51,0,0,21
216,30,34,224.48,200.56,0,0,25
19,10,350,312.78,260.86,1,0,18
74,15,272,264.46,212.76,0,0,20
6,2,388,205.66,197.49,0,0,18
222,28,339,242.54,265.14,0,0,48
85,29,7,112.62,97.71,0,0,38
184,18,244,77.19,74.03,0,0,54
78,8,133,193.13,250.43,0,0,36
106,29,344,239.33,293.95,0,0,24
32,27,131,259.29,228.25,0,0,32
254,24,245,210.27,199.55,0,0,31
32,5,12,165.43,140.57,0,0,31
73,3,203,227.16,275.55,0,0,31
51,26,390,79.91,68.09,0,0,17
79,42,86,194.59,171.94,0,1,34
202,33,198,91.17,87.07,1,0,45
82,20,311,281.34,249.51,0,0,30
245,11,322,150.47,170.41,0,0,36
125,8,233,294.34,278.52,0,1,39
197,30,111,117.93,165.95,0,0,41
101,13,153,165.77,146.95,0,0,53
79,17,13,138.91,121.05,0,0,47
98,44,180,78.04,105.94,0,0,30
227,32,33,66.36,59.0,0,0,24
72,27,290,243.73,217.54,0,0,37
245,8,307,133.93,129.44,1,0,36
234,24,228,116.96,156.41,1,1,59
198,35,398,286.27,229.97,0,0,48
114,31,95,208.83,180.02,0,1,44
161,39,269,99.5,85.0,0,0,35
234,40,251,110.27,88.98,0,0,40
211,13,64,246.06,218.64,0,0,21
130,34,105,265.89,258.61,0,0,36
238,47,370,270.92,222.71,0,0,42
208,1,73,234.52,190.17,0,0,31
206,8,273,80.41,70.88,0,0,31
170,44,306,309.09,248.63,0,0,37
72,9,354,122.19,160.93,0,0,42
69,44,397,239.63,217.88,0,1,38
129,17,364,232.71,267.8,1,0,47
193,1,400,55.52,75.56,0,0,24
98,22,193,219.45,201.02,0,0,24
180,18,194,247.57,227.48,0,1,42
163,12,89,248.21,289.26,1,0,28
190,13,17,275.15,249.64,0,0,39
201,8,75,93.96,91.9,0,0,36
188,43,290,107.47,137.36,0,0,38
186,43,246,370.73,299.21,0,1,34
120,45,53,46.95,61.39,0,1,52
199,17,146,64.43,58.6,0,0,49
170,11,72,94.9,84.07,0,0,24
237,23,97,218.62,217.1,0,1,33
109,31,371,212.74,229.05,0,0,35
40,31,220,140.12,166.56,1,0,24
33,15,102,197.96,240.2,1,0,24
231,41,386,103.48,145.63,0,0,45
95,28,51,116.34,149.79,0,0,28
257,2,220,155.8,139.34,0,0,25
22,11,186,267.0,233.23,0,0,28
187,40,51,145.03,123.06,0,1,39
246,14,115,134.6,117.62,0,0,46
167,37,40,195.55,266.14,0,0,46
2,49,244,61.68,77.0,0,0,35
80,48,394,366.57,297.13,0,0,32
10,25,34,202.26,235.46,0,0,37
213,21,339,83.42,79.27,0,1,45
80,15,378,336.74,296.43,0,0,28
120,50,136,189.36,168.99,0,0,31
243,11,253,169.1,162.43,0,0,42
147,25,384,304.97,246.79,0,0,21
83,25,108,104.32,111.7,0,0,33
46,27,219,261.71,231.34,0,0,21
146,27,69,231.44,208.5,1,0,31
253,13,1,141.38,153.29,0,0,45
207,7,134,346.57,289.53,0,0,45
239,4,31,237.24,197.85,0,0,37
159,4,350,199.79,191.01,0,0,29
77,7,258,365.17,294.84,0,0,32
50,9,389,60.3,50.13,0,0,31
61,40,97,222.33,257.5,1,0,46
173,36,213,69.9,63.22,1,0,36
184,38,177,118.22,104.86,1,0,54
248,40,62,324.77,288.67,0,0,25
166,50,202,271.97,230.13,0,0,16
5,8,159,116.86,146.03,0,0,45
76,27,93,321.05,280.22,0,0,31
222,14,320,90.01,77.45,0,0,22
203,11,164,309.1,286.2,1,0,36
13,2,198,219.58,189.28,0,0,28
147,41,226,247.97,226.75,0,0,12
118,1,46,140.77,137.9,0,0,37
127,42,76,261.18,215.67,0,0,30
191,49,102,58.31,50.29,0,0,35
194,9,395,86.47,85.11,0,0,49
15,9,190,132.18,129.84,0,0,24
203,9,68,333.61,273.39,0,1,41
198,10,151,205.04,220.19,0,0,36
25,46,43,184.16,189.44,1,0,23
23,49,101,290.36,280.86,0,0,42
54,49,43,103.71,131.12,0,0,34
131,13,356,350.55,294.4,0,0,25
101,34,397,88.79,86.57,0,0,36
202,18,211,156.05,211.89,0,0,54
50,12,48,325.99,287.04,0,0,41
134,41,238,114.76,102.14,1,0,45
48,36,232,85.55,81.85,0,1,40
248,3,368,58.55,58.13,0,0,44
142,41,392,136.25,115.08,0,1,21
16,25,382,242.3,235.06,0,0,29
39,36,25,134.27,125.43,0,0,36
46,38,311,342.24,275.46,0,1,30
184,40,243,360.98,295.77,0,0,24
200,45,15,160.26,139.82,0,0,35
242,23,167,63.77,57.17,0,0,39
108,22,135,71.72,64.4,0,0,45
88,16,260,134.6,126.35,0,0,23
197,33,87,332.71,294.28,0,0,22
25,49,13,156.67,138.78,1,0,42
228,25,249,83.55,79.29,0,0,43
189,30,172,95.29,100.66,0,0,43
233,16,189,81.36,69.34,0,0,31
85,15,384,298.9,297.38,0,0,22
103,13,254,119.68,98.34,0,0,24
76,10,116,79.1,72.2,0,0,12
66,14,54,65.22,66.66,0,0,41
232,5,153,313.07,250.52,0,0,35
127,42,72,125.11,133.46,0,0,35
76,41,302,123.61,138.8,0,0,15
179,18,242,205.9,164.88,1,0,47
85,9,288,157.29,129.55,0,0,24
139,7,398,307.43,269.9,0,0,42
163,45,85,250.85,238.46,0,0,37
38,1,57,142.54,151.95,0,0,21
159,21,72,210.51,184.01,0,0,32
171,44,232,151.33,132.75,0,0,26
118,12,305,78.52,76.78,0,1,32
97,30,159,220.31,214.82,0,0,26
92,24,207,164.64,162.2,0,0,19
120,10,181,86.0,114.87,0,0,28
183,24,241,191.15,238.62,1,0,52
48,29,112,314.72,252.78,1,0,36
17,10,321,90.21,77.05,1,0,12
123,13,161,173.45,186.73,0,0,24
258,29,126,299.71,284.48,0,0,39
16,43,63,275.9,260.83,0,0,36
209,43,261,201.26,179.49,0,0,31
257,24,394,135.1,125.7,0,0,44
138,35,50,71.08,68.41,0,0,32
139,22,7,209.04,220.51,0,0,17
235,32,44,187.27,169.23,0,0,35
154,31,303,163.62,153.06,0,0,19
54,19,64,251.05,230.58,0,0,22
19,7,252,159.31,219.2,0,0,34
144,34,106,315.75,295.27,0,0,35
118,13,325,169.91,149.5,0,0,33
52,5,383,80.72,96.8,0,0,30
30,34,115,92.77,82.59,0,0,43
97,29,288,72.94,69.02,1,0,42
149,24,283,191.23,210.17,0,0,37
241,47,324,292.17,283.95,0,0,43
197,11,70,152.61,212.22,0,0,41
111,28,242,157.0,134.72,0,1,48
226,1,345,87.8,104.49,0,0,45
179,5,76,221.91,213.77,0,0,43
56,7,48,167.41,144.5,0,0,16
52,48,209,132.98,125.96,1,0,50
84,2,66,253.29,228.18,0,0,24
193,14,385,310.02,275.6,0,0,39
17,38,155,261.49,295.63,0,0,34
78,41,286,294.24,274.03,0,0,42
124,5,396,274.1,244.82,1,0,48
60,1,351,295.82,278.39,1,0,30
196,25,398,295.31,245.1,0,1,46
208,17,79,173.12,201.46,0,0,42
237,33,262,334.51,298.8,0,0,33
42,17,323,64.95,55.31,0,0,28
187,28,375,165.44,156.67,0,0,37
214,42,15,150.22,154.91,0,0,34
105,44,394,236.72,294.64,1,1,42
122,43,245,101.39,143.1,0,0,18
184,8,273,268.04,226.91,0,0,38
74,8,76,233.63,194.29,0,0,44
43,30,68,279.82,236.08,1,0,40
49,47,225,147.24,127.59,0,0,19
30,24,100,63.23,52.51,0,0,39
213,46,169,317.34,260.73,0,0,42
137,2,389,262.93,260.66,0,0,39
114,7,263,158.7,165.8,0,0,28
135,44,181,77.11,102.6,0,0,34
143,19,141,120.16,103.99,0,0,38
191,42,72,95.42,87.72,0,0,39
135,47,262,284.41,264.4,0,0,27
188,43,91,245.85,197.5,1,0,23
40,10,145,269.13,268.57,0,0,30
159,31,82,55.17,72.74,0,0,33
252,6,321,326.19,263.08,0,0,24
122,25,260,187.76,253.86,0,0,36
65,2,219,280.82,227.61,0,0,39
118,24,214,89.81,96.01,0,0,25
51,4,89,332.48,279.29,0,0,27
101,28,351,172.18,239.16,1,0,57
221,32,347,63.7,54.53,0,0,34
182,32,147,201.27,180.37,0,1,48
144,14,287,216.69,260.19,1,0,27
82,47,100,75.71,61.22,0,1,37
244,19,29,98.35,120.96,0,0,50
83,33,201,173.43,144.83,0,0,41
158,27,136,235.36,213.04,0,0,48
176,3,347,71.28,64.4,0,0,36
168,9,171,302.07,290.34,0,0,23
27,39,40,98.53,88.28,1,0,32
