date,kitchen_id,menu_item_id,item_name,quantity_sold,price
2024-01-04,3,5,Tiramisu,33,7.0
2024-01-04,3,6,Caesar Salad,28,10.0
2024-01-04,3,7,Minestrone Soup,38,9.0
2024-01-04,4,1,Margherita Pizza,30,12.0
2024-01-04,4,2,Pasta Alfredo,37,14.0
2024-01-04,4,3,Lasagna Bolognese,28,16.0
2024-01-04,4,4,Bruschetta,31,8.0
2024-01-04,4,5,Tiramisu,34,7.0
2024-01-04,4,6,Caesar Salad,28,10.0
2024-01-04,4,7,Minestrone Soup,30,9.0
2024-01-04,5,1,Margherita Pizza,36,12.0
2024-01-04,5,2,Pasta Alfredo,37,14.0
2024-01-04,5,3,Lasagna Bolognese,33,16.0
2024-01-04,5,4,Bruschetta,32,8.0
2024-01-04,5,5,Tiramisu,39,7.0
2024-01-04,5,6,Caesar Salad,31,10.0
2024-01-04,5,7,Minestrone Soup,31,9.0
2024-01-05,1,1,Margherita Pizza,39,12.0
2024-01-05,1,2,Pasta Alfredo,49,14.0
2024-01-05,1,3,Lasagna Bolognese,27,16.0
2024-01-05,1,4,Bruschetta,39,8.0
2024-01-05,1,5,Tiramisu,46,7.0
2024-01-05,1,6,Caesar Salad,34,10.0
2024-01-05,1,7,Minestrone Soup,35,9.0
2024-01-05,2,1,Margherita Pizza,37,12.0
2024-01-05,2,2,Pasta Alfredo,49,14.0
2024-01-05,2,3,Lasagna Bolognese,35,16.0
2024-01-05,2,4,Bruschetta,41,8.0
2024-01-05,2,5,Tiramisu,48,7.0
2024-01-05,2,6,Caesar Salad,32,10.0
2024-01-05,2,7,Minestrone Soup,41,9.0
2024-01-05,3,1,Margherita Pizza,43,12.0
2024-01-05,3,2,Pasta Alfredo,47,14.0
2024-01-05,3,3,Lasagna Bolognese,41,16.0
2024-01-05,3,4,Bruschetta,44,8.0
2024-01-05,3,5,Tiramisu,46,7.0
2024-01-05,3,6,Caesar Salad,37,10.0
2024-01-05,3,7,Minestrone Soup,40,9.0
2024-01-05,4,1,Margherita Pizza,47,12.0
2024-01-05,4,2,Pasta Alfredo,55,14.0
2024-01-05,4,3,Lasagna Bolognese,35,16.0
2024-01-05,4,4,Bruschetta,47,8.0
2024-01-05,4,5,Tiramisu,53,7.0
2024-01-05,4,6,Caesar Salad,40,10.0
2024-01-05,4,7,Minestrone Soup,50,9.0
2024-01-05,5,1,Margherita Pizza,46,12.0
2024-01-05,5,2,Pasta Alfredo,52,14.0
2024-01-05,5,3,Lasagna Bolognese,36,16.0
2024-01-05,5,4,Bruschetta,44,8.0
2024-01-05,5,5,Tiramisu,54,7.0
2024-01-05,5,6,Caesar Salad,40,10.0
2024-01-05,5,7,Minestrone Soup,47,9.0
2024-01-06,1,1,Margherita Pizza,41,12.0
2024-01-06,1,2,Pasta Alfredo,45,14.0
2024-01-06,1,3,Lasagna Bolognese,36,16.0
2024-01-06,1,4,Bruschetta,38,8.0
2024-01-06,1,5,Tiramisu,53,7.0
2024-01-06,1,6,Caesar Salad,34,10.0
2024-01-06,1,7,Minestrone Soup,36,9.0
2024-01-06,2,1,Margherita Pizza,37,12.0
2024-01-06,2,2,Pasta Alfredo,49,14.0
2024-01-06,2,3,Lasagna Bolognese,33,16.0
2024-01-06,2,4,Bruschetta,43,8.0
2024-01-06,2,5,Tiramisu,49,7.0
2024-01-06,2,6,Caesar Salad,34,10.0
2024-01-06,2,7,Minestrone Soup,38,9.0
2024-01-06,3,1,Margherita Pizza,38,12.0
2024-01-06,3,2,Pasta Alfredo,48,14.0
2024-01-06,3,3,Lasagna Bolognese,38,16.0
2024-01-06,3,4,Bruschetta,43,8.0
2024-01-06,3,5,Tiramisu,46,7.0
2024-01-06,3,6,Caesar Salad,36,10.0
2024-01-06,3,7,Minestrone Soup,44,9.0
2024-01-06,4,1,Margherita Pizza,42,12.0
2024-01-06,4,2,Pasta Alfredo,52,14.0
2024-01-06,4,3,Lasagna Bolognese,37,16.0
2024-01-06,4,4,Bruschetta,41,8.0
2024-01-06,4,5,Tiramisu,53,7.0
2024-01-06,4,6,Caesar Salad,39,10.0
2024-01-06,4,7,Minestrone Soup,48,9.0
2024-01-06,5,1,Margherita Pizza,50,12.0
2024-01-06,5,2,Pasta Alfredo,50,14.0
2024-01-06,5,3,Lasagna Bolognese,36,16.0
2024-01-06,5,4,Bruschetta,48,8.0
2024-01-06,5,5,Tiramisu,56,7.0
2024-01-06,5,6,Caesar Salad,40,10.0
2024-01-06,5,7,Minestrone Soup,58,9.0
2024-01-07,1,1,Margherita Pizza,34,12.0
2024-01-07,1,2,Pasta Alfredo,42,14.0
2024-01-07,1,3,Lasagna Bolognese,30,16.0
2024-01-07,1,4,Bruschetta,35,8.0
2024-01-07,1,5,Tiramisu,37,7.0
2024-01-07,1,6,Caesar Salad,30,10.0
2024-01-07,1,7,Minestrone Soup,30,9.0
2024-01-07,2,1,Margherita Pizza,34,12.0
2024-01-07,2,2,Pasta Alfredo,39,14.0
2024-01-07,2,3,Lasagna Bolognese,29,16.0
2024-01-07,2,4,Bruschetta,41,8.0
2024-01-07,2,5,Tiramisu,35,7.0
2024-01-07,2,6,Caesar Salad,31,10.0
2024-01-07,2,7,Minestrone Soup,30,9.0
2024-01-07,3,1,Margherita Pizza,35,12.0
2024-01-07,3,2,Pasta Alfredo,46,14.0
2024-01-07,3,3,Lasagna Bolognese,30,16.0
2024-01-07,3,4,Bruschetta,33,8.0
2024-01-07,3,5,Tiramisu,40,7.0
2024-01-07,3,6,Caesar Salad,32,10.0
2024-01-07,3,7,Minestrone Soup,34,9.0
2024-01-07,4,1,Margherita Pizza,39,12.0
2024-01-07,4,2,Pasta Alfredo,44,14.0
2024-01-07,4,3,Lasagna Bolognese,30,16.0
2024-01-07,4,4,Bruschetta,44,8.0
2024-01-07,4,5,Tiramisu,46,7.0
2024-01-07,4,6,Caesar Salad,26,10.0
2024-01-07,4,7,Minestrone Soup,39,9.0
2024-01-07,5,1,Margherita Pizza,38,12.0
2024-01-07,5,2,Pasta Alfredo,49,14.0
2024-01-07,5,3,Lasagna Bolognese,31,16.0
2024-01-07,5,4,Bruschetta,39,8.0
2024-01-07,5,5,Tiramisu,48,7.0
2024-01-07,5,6,Caesar Salad,36,10.0
2024-01-07,5,7,Minestrone Soup,36,9.0
2024-01-08,1,1,Margherita Pizza,23,12.0
2024-01-08,1,2,Pasta Alfredo,27,14.0
2024-01-08,1,3,Lasagna Bolognese,18,16.0
2024-01-08,1,4,Bruschetta,30,8.0
2024-01-08,1,5,Tiramisu,29,7.0
2024-01-08,1,6,Caesar Salad,16,10.0
2024-01-08,1,7,Minestrone Soup,27,9.0
2024-01-08,2,1,Margherita Pizza,32,12.0
2024-01-08,2,2,Pasta Alfredo,33,14.0
2024-01-08,2,3,Lasagna Bolognese,17,16.0
2024-01-08,2,4,Bruschetta,24,8.0
2024-01-08,2,5,Tiramisu,34,7.0
2024-01-08,2,6,Caesar Salad,19,10.0
2024-01-08,2,7,Minestrone Soup,27,9.0
2024-01-08,3,1,Margherita Pizza,29,12.0
2024-01-08,3,2,Pasta Alfredo,28,14.0
2024-01-08,3,3,Lasagna Bolognese,22,16.0
2024-01-08,3,4,Bruschetta,17,8.0
2024-01-08,3,5,Tiramisu,28,7.0
2024-01-08,3,6,Caesar Salad,22,10.0
2024-01-08,3,7,Minestrone Soup,23,9.0
2024-01-08,4,1,Margherita Pizza,33,12.0
2024-01-08,4,2,Pasta Alfredo,28,14.0
2024-01-08,4,3,Lasagna Bolognese,22,16.0
2024-01-08,4,4,Bruschetta,28,8.0
2024-01-08,4,5,Tiramisu,37,7.0
2024-01-08,4,6,Caesar Salad,19,10.0
2024-01-08,4,7,Minestrone Soup,32,9.0
2024-01-08,5,1,Margherita Pizza,29,12.0
2024-01-08,5,2,Pasta Alfredo,31,14.0
2024-01-08,5,3,Lasagna Bolognese,26,16.0
2024-01-08,5,4,Bruschetta,30,8.0
2024-01-08,5,5,Tiramisu,32,7.0
2024-01-08,5,6,Caesar Salad,25,10.0
2024-01-08,5,7,Minestrone Soup,28,9.0
2024-01-09,1,1,Margherita Pizza,29,12.0
2024-01-09,1,2,Pasta Alfredo,35,14.0
2024-01-09,1,3,Lasagna Bolognese,29,16.0
2024-01-09,1,4,Bruschetta,25,8.0
2024-01-09,1,5,Tiramisu,40,7.0
2024-01-09,1,6,Caesar Salad,18,10.0
2024-01-09,1,7,Minestrone Soup,28,9.0
2024-01-09,2,1,Margherita Pizza,32,12.0
2024-01-09,2,2,Pasta Alfredo,36,14.0
2024-01-09,2,3,Lasagna Bolognese,23,16.0
2024-01-09,2,4,Bruschetta,29,8.0
2024-01-09,2,5,Tiramisu,34,7.0
2024-01-09,2,6,Caesar Salad,23,10.0
2024-01-09,2,7,Minestrone Soup,33,9.0
2024-01-09,3,1,Margherita Pizza,33,12.0
2024-01-09,3,2,Pasta Alfredo,35,14.0
2024-01-09,3,3,Lasagna Bolognese,29,16.0
2024-01-09,3,4,Bruschetta,32,8.0
2024-01-09,3,5,Tiramisu,39,7.0
2024-01-09,3,6,Caesar Salad,28,10.0
2024-01-09,3,7,Minestrone Soup,29,9.0
2024-01-09,4,1,Margherita Pizza,31,12.0
2024-01-09,4,2,Pasta Alfredo,41,14.0
2024-01-09,4,3,Lasagna Bolognese,29,16.0
2024-01-09,4,4,Bruschetta,33,8.0
2024-01-09,4,5,Tiramisu,39,7.0
2024-01-09,4,6,Caesar Salad,31,10.0
2024-01-09,4,7,Minestrone Soup,31,9.0
2024-01-09,5,1,Margherita Pizza,36,12.0
2024-01-09,5,2,Pasta Alfredo,40,14.0
2024-01-09,5,3,Lasagna Bolognese,28,16.0
2024-01-09,5,4,Bruschetta,38,8.0
2024-01-09,5,5,Tiramisu,43,7.0
2024-01-09,5,6,Caesar Salad,31,10.0
2024-01-09,5,7,Minestrone Soup,38,9.0
2024-01-10,1,1,Margherita Pizza,29,12.0
2024-01-10,1,2,Pasta Alfredo,35,14.0
2024-01-10,1,3,Lasagna Bolognese,23,16.0
2024-01-10,1,4,Bruschetta,29,8.0
2024-01-10,1,5,Tiramisu,33,7.0
2024-01-10,1,6,Caesar Salad,24,10.0
2024-01-10,1,7,Minestrone Soup,30,9.0
2024-01-10,2,1,Margherita Pizza,28,12.0
2024-01-10,2,2,Pasta Alfredo,41,14.0
2024-01-10,2,3,Lasagna Bolognese,22,16.0
2024-01-10,2,4,Bruschetta,26,8.0
2024-01-10,2,5,Tiramisu,38,7.0
2024-01-10,2,6,Caesar Salad,27,10.0
2024-01-10,2,7,Minestrone Soup,32,9.0
2024-01-10,3,1,Margherita Pizza,33,12.0
2024-01-10,3,2,Pasta Alfredo,37,14.0
2024-01-10,3,3,Lasagna Bolognese,24,16.0
2024-01-10,3,4,Bruschetta,32,8.0
2024-01-10,3,5,Tiramisu,35,7.0
2024-01-10,3,6,Caesar Salad,29,10.0
2024-01-10,3,7,Minestrone Soup,31,9.0
2024-01-10,4,1,Margherita Pizza,31,12.0
2024-01-10,4,2,Pasta Alfredo,38,14.0
2024-01-10,4,3,Lasagna Bolognese,29,16.0
2024-01-10,4,4,Bruschetta,31,8.0
2024-01-10,4,5,Tiramisu,36,7.0
2024-01-10,4,6,Caesar Salad,28,10.0
2024-01-10,4,7,Minestrone Soup,34,9.0
2024-01-10,5,1,Margherita Pizza,33,12.0
2024-01-10,5,2,Pasta Alfredo,39,14.0
2024-01-10,5,3,Lasagna Bolognese,29,16.0
2024-01-10,5,4,Bruschetta,30,8.0
2024-01-10,5,5,Tiramisu,36,7.0
2024-01-10,5,6,Caesar Salad,27,10.0
2024-01-10,5,7,Minestrone Soup,34,9.0
2024-01-11,1,1,Margherita Pizza,29,12.0
2024-01-11,1,2,Pasta Alfredo,38,14.0
2024-01-11,1,3,Lasagna Bolognese,26,16.0
2024-01-11,1,4,Bruschetta,28,8.0
2024-01-11,1,5,Tiramisu,33,7.0
2024-01-11,1,6,Caesar Salad,21,10.0
2024-01-11,1,7,Minestrone Soup,28,9.0
2024-01-11,2,1,Margherita Pizza,29,12.0
2024-01-11,2,2,Pasta Alfredo,36,14.0
2024-01-11,2,3,Lasagna Bolognese,23,16.0
2024-01-11,2,4,Bruschetta,32,8.0
2024-01-11,2,5,Tiramisu,40,7.0
2024-01-11,2,6,Caesar Salad,25,10.0
2024-01-11,2,7,Minestrone Soup,31,9.0
2024-01-11,3,1,Margherita Pizza,34,12.0
2024-01-11,3,2,Pasta Alfredo,36,14.0
2024-01-11,3,3,Lasagna Bolognese,27,16.0
2024-01-11,3,4,Bruschetta,32,8.0
2024-01-11,3,5,Tiramisu,37,7.0
2024-01-11,3,6,Caesar Salad,24,10.0
2024-01-11,3,7,Minestrone Soup,32,9.0
2024-01-11,4,1,Margherita Pizza,34,12.0
2024-01-11,4,2,Pasta Alfredo,43,14.0
2024-01-11,4,3,Lasagna Bolognese,30,16.0
2024-01-11,4,4,Bruschetta,39,8.0
2024-01-11,4,5,Tiramisu,36,7.0
2024-01-11,4,6,Caesar Salad,30,10.0
2024-01-11,4,7,Minestrone Soup,34,9.0
2024-01-11,5,1,Margherita Pizza,41,12.0
2024-01-11,5,2,Pasta Alfredo,38,14.0
2024-01-11,5,3,Lasagna Bolognese,26,16.0
2024-01-11,5,4,Bruschetta,33,8.0
2024-01-11,5,5,Tiramisu,34,7.0
2024-01-11,5,6,Caesar Salad,27,10.0
2024-01-11,5,7,Minestrone Soup,32,9.0
2024-01-12,1,1,Margherita Pizza,39,12.0
2024-01-12,1,2,Pasta Alfredo,46,14.0
2024-01-12,1,3,Lasagna Bolognese,38,16.0
2024-01-12,1,4,Bruschetta,41,8.0
2024-01-12,1,5,Tiramisu,43,7.0
2024-01-12,1,6,Caesar Salad,29,10.0
2024-01-12,1,7,Minestrone Soup,40,9.0
2024-01-12,2,1,Margherita Pizza,37,12.0
2024-01-12,2,2,Pasta Alfredo,53,14.0
2024-01-12,2,3,Lasagna Bolognese,37,16.0
2024-01-12,2,4,Bruschetta,39,8.0
2024-01-12,2,5,Tiramisu,42,7.0
2024-01-12,2,6,Caesar Salad,38,10.0
2024-01-12,2,7,Minestrone Soup,40,9.0
2024-01-12,3,1,Margherita Pizza,46,12.0
2024-01-12,3,2,Pasta Alfredo,45,14.0
2024-01-12,3,3,Lasagna Bolognese,34,16.0
2024-01-12,3,4,Bruschetta,43,8.0
2024-01-12,3,5,Tiramisu,50,7.0
2024-01-12,3,6,Caesar Salad,34,10.0
2024-01-12,3,7,Minestrone Soup,44,9.0
2024-01-12,4,1,Margherita Pizza,41,12.0
2024-01-12,4,2,Pasta Alfredo,52,14.0
2024-01-12,4,3,Lasagna Bolognese,37,16.0
2024-01-12,4,4,Bruschetta,46,8.0
2024-01-12,4,5,Tiramisu,54,7.0
2024-01-12,4,6,Caesar Salad,34,10.0
2024-01-12,4,7,Minestrone Soup,40,9.0
2024-01-12,5,1,Margherita Pizza,50,12.0
2024-01-12,5,2,Pasta Alfredo,55,14.0
2024-01-12,5,3,Lasagna Bolognese,37,16.0
2024-01-12,5,4,Bruschetta,51,8.0
2024-01-12,5,5,Tiramisu,55,7.0
2024-01-12,5,6,Caesar Salad,42,10.0
2024-01-12,5,7,Minestrone Soup,47,9.0
2024-01-13,1,1,Margherita Pizza,45,12.0
2024-01-13,1,2,Pasta Alfredo,50,14.0
2024-01-13,1,3,Lasagna Bolognese,31,16.0
2024-01-13,1,4,Bruschetta,41,8.0
2024-01-13,1,5,Tiramisu,47,7.0
2024-01-13,1,6,Caesar Salad,36,10.0
2024-01-13,1,7,Minestrone Soup,36,9.0
2024-01-13,2,1,Margherita Pizza,43,12.0
2024-01-13,2,2,Pasta Alfredo,50,14.0
2024-01-13,2,3,Lasagna Bolognese,28,16.0
2024-01-13,2,4,Bruschetta,37,8.0
2024-01-13,2,5,Tiramisu,41,7.0
2024-01-13,2,6,Caesar Salad,33,10.0
2024-01-13,2,7,Minestrone Soup,43,9.0
2024-01-13,3,1,Margherita Pizza,47,12.0
2024-01-13,3,2,Pasta Alfredo,50,14.0
2024-01-13,3,3,Lasagna Bolognese,40,16.0
2024-01-13,3,4,Bruschetta,38,8.0
2024-01-13,3,5,Tiramisu,45,7.0
2024-01-13,3,6,Caesar Salad,35,10.0
2024-01-13,3,7,Minestrone Soup,44,9.0
2024-01-13,4,1,Margherita Pizza,44,12.0
2024-01-13,4,2,Pasta Alfredo,46,14.0
2024-01-13,4,3,Lasagna Bolognese,37,16.0
2024-01-13,4,4,Bruschetta,41,8.0
2024-01-13,4,5,Tiramisu,54,7.0
2024-01-13,4,6,Caesar Salad,38,10.0
2024-01-13,4,7,Minestrone Soup,42,9.0
2024-01-13,5,1,Margherita Pizza,45,12.0
2024-01-13,5,2,Pasta Alfredo,51,14.0
2024-01-13,5,3,Lasagna Bolognese,39,16.0
2024-01-13,5,4,Bruschetta,49,8.0
2024-01-13,5,5,Tiramisu,51,7.0
2024-01-13,5,6,Caesar Salad,40,10.0
2024-01-13,5,7,Minestrone Soup,45,9.0
2024-01-14,1,1,Margherita Pizza,30,12.0
2024-01-14,1,2,Pasta Alfredo,38,14.0
2024-01-14,1,3,Lasagna Bolognese,24,16.0
2024-01-14,1,4,Bruschetta,31,8.0
2024-01-14,1,5,Tiramisu,35,7.0
2024-01-14,1,6,Caesar Salad,33,10.0
2024-01-14,1,7,Minestrone Soup,33,9.0
2024-01-14,2,1,Margherita Pizza,32,12.0
2024-01-14,2,2,Pasta Alfredo,41,14.0
2024-01-14,2,3,Lasagna Bolognese,28,16.0
2024-01-14,2,4,Bruschetta,34,8.0
2024-01-14,2,5,Tiramisu,42,7.0
2024-01-14,2,6,Caesar Salad,31,10.0
2024-01-14,2,7,Minestrone Soup,33,9.0
2024-01-14,3,1,Margherita Pizza,34,12.0
2024-01-14,3,2,Pasta Alfredo,41,14.0
2024-01-14,3,3,Lasagna Bolognese,23,16.0
2024-01-14,3,4,Bruschetta,32,8.0
2024-01-14,3,5,Tiramisu,46,7.0
2024-01-14,3,6,Caesar Salad,35,10.0
2024-01-14,3,7,Minestrone Soup,35,9.0
2024-01-14,4,1,Margherita Pizza,40,12.0
2024-01-14,4,2,Pasta Alfredo,45,14.0
2024-01-14,4,3,Lasagna Bolognese,41,16.0
2024-01-14,4,4,Bruschetta,41,8.0
2024-01-14,4,5,Tiramisu,44,7.0
2024-01-14,4,6,Caesar Salad,29,10.0
2024-01-14,4,7,Minestrone Soup,33,9.0
2024-01-14,5,1,Margherita Pizza,40,12.0
2024-01-14,5,2,Pasta Alfredo,44,14.0
2024-01-14,5,3,Lasagna Bolognese,29,16.0
2024-01-14,5,4,Bruschetta,38,8.0
2024-01-14,5,5,Tiramisu,43,7.0
2024-01-14,5,6,Caesar Salad,38,10.0
2024-01-14,5,7,Minestrone Soup,42,9.0
2024-01-15,1,1,Margherita Pizza,24,12.0
2024-01-15,1,2,Pasta Alfredo,33,14.0
2024-01-15,1,3,Lasagna Bolognese,20,16.0
2024-01-15,1,4,Bruschetta,22,8.0
2024-01-15,1,5,Tiramisu,33,7.0
2024-01-15,1,6,Caesar Salad,22,10.0
2024-01-15,1,7,Minestrone Soup,21,9.0
2024-01-15,2,1,Margherita Pizza,25,12.0
2024-01-15,2,2,Pasta Alfredo,27,14.0
2024-01-15,2,3,Lasagna Bolognese,17,16.0
2024-01-15,2,4,Bruschetta,28,8.0
2024-01-15,2,5,Tiramisu,35,7.0
2024-01-15,2,6,Caesar Salad,17,10.0
2024-01-15,2,7,Minestrone Soup,27,9.0
2024-01-15,3,1,Margherita Pizza,25,12.0
2024-01-15,3,2,Pasta Alfredo,30,14.0
2024-01-15,3,3,Lasagna Bolognese,21,16.0
2024-01-15,3,4,Bruschetta,24,8.0
2024-01-15,3,5,Tiramisu,31,7.0
2024-01-15,3,6,Caesar Salad,20,10.0
2024-01-15,3,7,Minestrone Soup,28,9.0
2024-01-15,4,1,Margherita Pizza,28,12.0
2024-01-15,4,2,Pasta Alfredo,32,14.0
2024-01-15,4,3,Lasagna Bolognese,21,16.0
2024-01-15,4,4,Bruschetta,26,8.0
2024-01-15,4,5,Tiramisu,35,7.0
2024-01-15,4,6,Caesar Salad,25,10.0
2024-01-15,4,7,Minestrone Soup,25,9.0
2024-01-15,5,1,Margherita Pizza,30,12.0
2024-01-15,5,2,Pasta Alfredo,36,14.0
2024-01-15,5,3,Lasagna Bolognese,19,16.0
2024-01-15,5,4,Bruschetta,31,8.0
2024-01-15,5,5,Tiramisu,32,7.0
2024-01-15,5,6,Caesar Salad,26,10.0
2024-01-15,5,7,Minestrone Soup,27,9.0
2024-01-16,1,1,Margherita Pizza,23,12.0
2024-01-16,1,2,Pasta Alfredo,28,14.0
2024-01-16,1,3,Lasagna Bolognese,24,16.0
2024-01-16,1,4,Bruschetta,29,8.0
2024-01-16,1,5,Tiramisu,31,7.0
2024-01-16,1,6,Caesar Salad,26,10.0
2024-01-16,1,7,Minestrone Soup,24,9.0
2024-01-16,2,1,Margherita Pizza,30,12.0
2024-01-16,2,2,Pasta Alfredo,31,14.0
2024-01-16,2,3,Lasagna Bolognese,23,16.0
2024-01-16,2,4,Bruschetta,30,8.0
2024-01-16,2,5,Tiramisu,32,7.0
2024-01-16,2,6,Caesar Salad,24,10.0
2024-01-16,2,7,Minestrone Soup,33,9.0
2024-01-16,3,1,Margherita Pizza,30,12.0
2024-01-16,3,2,Pasta Alfredo,39,14.0
2024-01-16,3,3,Lasagna Bolognese,23,16.0
